timestamp,regime,strategy,direction,confidence,kelly_mult,market_price,win_prob,entry_close,exit_close,bet_usdc,outcome,pnl,bankroll
2023-01-12 05:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.904,0.5,0.516,0.592,18087.54,18123.86,3.72,WIN,3.35,103.35
2023-01-12 14:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.813,0.5,0.488,0.585,17984.4,17998.56,4.69,WIN,4.73,108.08
2023-01-12 14:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.715,0.5,0.502,0.577,17998.56,18103.28,3.85,WIN,3.67,111.75
2023-01-13 00:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.692,0.5,0.496,0.575,18715.14,18771.61,4.16,WIN,4.06,115.81
2023-01-14 10:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.854,0.5,0.484,0.588,20294.26,20424.21,5.63,WIN,5.77,121.58
2023-01-15 00:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.857,0.5,0.509,0.589,20658.39,20767.05,4.66,WIN,4.32,125.9
2023-01-16 08:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.977,0.5,0.501,0.598,20798.0,20811.07,5.87,WIN,5.62,131.52
2023-01-16 08:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.884,0.5,0.508,0.591,20811.07,20769.1,5.25,LOSS,-5.25,126.27
2023-01-16 08:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.865,0.5,0.494,0.589,20769.1,20747.7,5.68,LOSS,-5.68,120.59
2023-01-16 08:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.839,0.5,0.509,0.587,20747.7,20803.3,4.54,WIN,4.21,124.8
2023-01-17 01:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.718,0.5,0.491,0.577,20971.9,20993.69,5.04,WIN,5.02,129.82
2023-01-17 01:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.642,0.5,0.481,0.571,20993.69,21035.14,5.39,WIN,5.59,135.41
2023-01-17 23:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.873,0.5,0.49,0.59,21164.63,21134.81,6.36,LOSS,-6.36,129.05
2023-01-17 23:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.864,0.5,0.509,0.589,21134.81,21117.21,4.99,LOSS,-4.99,124.06
2023-01-18 09:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.833,0.5,0.498,0.587,21187.83,21230.09,5.22,WIN,5.05,129.11
2023-01-18 10:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.673,0.5,0.496,0.574,21192.83,21183.83,4.71,LOSS,-4.71,124.4
2023-01-18 10:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.679,0.5,0.512,0.574,21183.83,21212.08,3.69,WIN,3.38,127.78
2023-01-18 16:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.812,0.5,0.52,0.585,20878.93,20670.72,4.03,LOSS,-4.03,123.75
2023-01-20 04:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.805,0.5,0.493,0.584,20991.01,21018.95,5.32,WIN,5.26,129.01
2023-01-20 05:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.738,0.5,0.499,0.579,20981.81,20972.72,4.88,LOSS,-4.88,124.13
2023-01-20 05:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.712,0.5,0.499,0.577,20972.72,20982.27,4.56,WIN,4.4,128.53
2023-01-21 22:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.96,0.5,0.505,0.597,22759.71,22931.99,5.69,WIN,5.36,133.89
2023-01-21 23:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.847,0.5,0.504,0.588,22809.6,22734.38,5.37,LOSS,-5.37,128.52
2023-01-21 23:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.847,0.5,0.499,0.588,22734.38,22783.55,5.43,WIN,5.24,133.76
2023-01-22 20:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.95,0.5,0.519,0.596,22531.56,22570.42,5.06,WIN,4.5,138.26
2023-01-22 20:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.839,0.5,0.503,0.587,22570.42,22516.1,5.56,LOSS,-5.56,132.7
2023-01-23 14:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.855,0.5,0.489,0.588,22731.15,22793.63,6.19,WIN,6.21,138.91
2023-01-23 14:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.897,0.5,0.509,0.592,22622.05,22775.0,5.56,WIN,5.15,144.06
2023-01-24 09:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.95,0.5,0.516,0.596,22919.43,22917.4,5.64,LOSS,-5.64,138.42
2023-01-24 09:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.88,0.5,0.512,0.59,22917.4,22809.93,5.26,LOSS,-5.26,133.16
2023-01-24 09:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.916,0.5,0.519,0.593,22809.93,22852.79,4.85,WIN,4.32,137.48
2023-01-24 09:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.833,0.5,0.509,0.587,22852.79,22884.56,5.14,WIN,4.76,142.24
2023-01-25 14:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.82,0.5,0.513,0.586,22435.47,22430.01,4.99,LOSS,-4.99,137.25
2023-01-25 15:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.745,0.5,0.482,0.58,22430.01,22540.33,6.19,WIN,6.39,143.64
2023-01-26 06:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.959,0.5,0.499,0.597,23005.33,23048.02,6.71,WIN,6.47,150.11
2023-01-26 06:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.839,0.5,0.483,0.587,23048.02,23087.87,7.27,WIN,7.47,157.58
2023-01-26 07:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.844,0.5,0.512,0.588,22980.31,22966.73,5.75,LOSS,-5.75,151.83
2023-01-26 07:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.828,0.5,0.508,0.586,22966.73,23015.15,5.71,WIN,5.31,157.14
2023-01-27 14:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.543,0.5,0.512,0.563,22878.4,22930.47,3.78,WIN,3.46,160.6
2023-01-30 02:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.802,0.5,0.511,0.584,23591.95,23630.63,5.65,WIN,5.19,165.79
2023-01-30 08:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.913,0.5,0.486,0.593,23550.92,23568.92,8.29,WIN,8.42,174.21
2023-01-30 08:30 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.802,0.5,0.515,0.584,23568.92,23548.76,5.82,LOSS,-5.82,168.39
2023-01-30 08:45 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.831,0.5,0.487,0.586,23548.76,23283.45,7.83,LOSS,-7.83,160.56
2023-01-30 09:00 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.965,0.5,0.484,0.597,23283.45,23291.36,8.03,WIN,8.22,168.78
2023-01-30 09:15 UTC,SIDEWAYS,SIDE_BB+VWAP+RSI,UP,0.884,0.5,0.513,0.591,23291.36,23181.34,6.37,LOSS,-6.37,162.41
